"condition","grain","movName","iteration","max_peakiness","min_peakiness","peakiness"
"Interrupted","c","3Iron",5,0.000130685260571112,2.61399091355545e-05,4.99945351353037
"Jumbled","c","3Iron",5,0.000109903099905771,2.96931308276312e-05,3.70129712975569
"Uninterrupted","f","3Iron",5,0.000313362562329718,4.62353128448818e-05,6.77755903547232
"Interrupted","f","3Iron",5,0.000349619057179333,4.67829489330974e-05,7.47321545889102
"Jumbled","f","3Iron",5,0.000306809290994381,4.99109339874607e-05,6.14713583743919
"Uninterrupted","c","Corn",5,0.000186433766084176,2.51715123778575e-05,7.4065381247483
"Interrupted","c","Corn",5,0.000146373745185695,2.66972134035219e-05,5.48273495713923
"Jumbled","c","Corn",5,0.000135584576804943,3.0108941093028e-05,4.50313335118713
"Uninterrupted","f","Corn",5,0.000374068047747595,4.86920763376506e-05,7.68231868268783
"Interrupted","f","Corn",5,0.000394192352484251,4.97623999151038e-05,7.92148998353689
"Jumbled","f","Corn",5,0.000308039698077288,5.38640510262662e-05,5.71883644486889
"Uninterrupted","c","3Iron",6,0.000135592636801593,2.43589355234848e-05,5.56644343800928
"Interrupted","c","3Iron",6,0.000120018132708566,2.6246061726965e-05,4.57280539675256
"Jumbled","c","3Iron",6,0.000151654865951023,2.94376325056207e-05,5.15173446512951
"Uninterrupted","f","3Iron",6,0.000290047691178373,4.62353128448818e-05,6.27329357868682
"Interrupted","f","3Iron",6,0.000289362867996443,4.67829489330974e-05,6.18522078226086
"Jumbled","f","3Iron",6,0.00032885776556284,4.99109339874607e-05,6.58889223843136
"Uninterrupted","c","Corn",6,0.000151880871123772,2.54711141099193e-05,5.96286720982591
"Interrupted","c","Corn",6,0.000141329290703288,2.6875991994825e-05,5.25857020386453
"Jumbled","c","Corn",6,0.000113072129220711,3.02405051813216e-05,3.73909524800369
"Uninterrupted","f","Corn",6,0.000354332689824459,4.86920763376506e-05,7.27700924822702
"Interrupted","f","Corn",6,0.000331366159426744,4.97623999151038e-05,6.65896660916806
"Jumbled","f","Corn",6,0.000373004674829658,5.38640510262662e-05,6.92492799414152
"Uninterrupted","c","3Iron",7,0.000113880068666091,2.44656793601699e-05,4.65468655047805
"Interrupted","c","3Iron",7,0.000120676877505898,2.61399091355545e-05,4.61657601333275
"Jumbled","c","3Iron",7,0.000106641904826098,2.97502825734211e-05,3.5845677957147
"Uninterrupted","f","3Iron",7,0.000362127572619441,4.62353128448818e-05,7.83227257127835
"Interrupted","f","3Iron",7,0.000324356822630952,4.67829489330974e-05,6.93322738365216
"Jumbled","f","3Iron",7,0.000310247080513222,4.99109339874607e-05,6.2160143224562
"Uninterrupted","c","Corn",7,0.00010487317737085,2.56033361906678e-05,4.09607469080827
"Interrupted","c","Corn",7,0.000143214384170641,2.6875991994825e-05,5.3287106276195
"Jumbled","c","Corn",7,0.000104326170476013,3.02405051813216e-05,3.44988186706786
"Uninterrupted","f","Corn",7,0.000404409302721704,4.64730738348248e-05,8.70201321649307
"Interrupted","f","Corn",7,0.000342168072653581,4.97623999151038e-05,6.87603638967032
"Jumbled","f","Corn",7,0.000322021710047744,5.38640510262662e-05,5.97841610336204
"Uninterrupted","c","3Iron",8,0.000117082654644944,2.44656793601699e-05,4.78558771744364
"Interrupted","c","3Iron",8,0.000118106571858181,2.6246061726965e-05,4.49997310403485
"Jumbled","c","3Iron",8,0.000136168257671075,2.96931308276312e-05,4.5858504602136
"Uninterrupted","f","3Iron",8,0.000294480332287844,4.62353128448818e-05,6.3691649124516
"Interrupted","f","3Iron",8,0.000288077942793368,4.67829489330974e-05,6.15775510871146
"Jumbled","f","3Iron",8,0.000287430849253018,4.99109339874607e-05,5.75887538640792
"Uninterrupted","c","Corn",8,0.000105871337905141,2.56033361906678e-05,4.13506025608217
"Interrupted","c","Corn",8,0.000109001112515913,2.6875991994825e-05,4.05570564751253
"Jumbled","c","Corn",8,0.000172934376633983,2.97177723551856e-05,5.81922408473549
"Uninterrupted","f","Corn",8,0.000333012540036578,4.86920763376506e-05,6.83915259081034
"Interrupted","f","Corn",8,0.000306273571700441,4.97623999151038e-05,6.15471866756735
"Jumbled","f","Corn",8,0.000347419954808839,5.38640510262662e-05,6.44994106810541
"Uninterrupted","c","3Iron",9,0.000110013208637383,2.44656793601699e-05,4.49663412234873
"Interrupted","c","3Iron",9,8.86028777376853e-05,2.62629342650694e-05,3.37368539415377
"Jumbled","c","3Iron",9,0.000102158231864352,2.96931308276312e-05,3.44046683582749
"Uninterrupted","f","3Iron",9,0.000335145123392114,4.62353128448818e-05,7.24868293887221
"Interrupted","f","3Iron",9,0.000325356367703587,4.67829489330974e-05,6.95459296866615
"Jumbled","f","3Iron",9,0.000270558919287269,4.99109339874607e-05,5.42083462824482
"Uninterrupted","c","Corn",9,0.000161605749125021,2.54711141099193e-05,6.34466747028103
"Interrupted","c","Corn",9,0.000138942728226304,2.66972134035219e-05,5.20439066528098
"Jumbled","c","Corn",9,0.000112852792193224,3.02405051813216e-05,3.73184216059093
"Uninterrupted","f","Corn",9,0.00029220587520447,4.86920763376506e-05,6.00109704047526
"Interrupted","f","Corn",9,0.000339230309171263,4.97623999151038e-05,6.81700058176455
"Jumbled","f","Corn",9,0.000367216652774638,5.38640510262662e-05,6.81747187183469
"Uninterrupted","c","3Iron",10,0.000107170048507251,2.44656793601699e-05,4.38042397799605
"Interrupted","c","3Iron",10,0.000105723134697764,2.6246061726965e-05,4.0281523299606
"Jumbled","c","3Iron",10,0.00011882164233526,2.96931308276312e-05,4.0016542218138
"Uninterrupted","f","3Iron",10,0.000281997127960252,4.62353128448818e-05,6.09917205289266
"Interrupted","f","3Iron",10,0.000282484904704929,4.67829489330974e-05,6.0382021900522
"Jumbled","f","3Iron",10,0.0003201111119768,4.99109339874607e-05,6.41364699881639
"Uninterrupted","c","Corn",10,0.000127702769712856,2.56033361906678e-05,4.98773943996417
"Interrupted","c","Corn",10,0.000198792856700674,2.63026665254308e-05,7.55789746672528
"Jumbled","c","Corn",10,0.000120392194805909,3.02405051813216e-05,3.98115686507351
"Uninterrupted","f","Corn",10,0.000313765864940431,4.86920763376506e-05,6.4438793442418
"Interrupted","f","Corn",10,0.000296154138067339,4.97623999151038e-05,5.95136365152378
"Jumbled","f","Corn",10,0.000293614684615593,5.38640510262662e-05,5.45103234943127
"Uninterrupted","c","3Iron",11,0.000130294911873464,2.44656793601699e-05,5.32562002286289
"Interrupted","c","3Iron",11,0.00012786728253274,2.61399091355545e-05,4.89164984735238
"Jumbled","c","3Iron",11,0.000117579373771179,2.96931308276312e-05,3.95981732117532
"Uninterrupted","f","3Iron",11,0.00034461021983903,4.62353128448818e-05,7.45339868241377
"Interrupted","f","3Iron",11,0.00032374177733117,4.67829489330974e-05,6.92008060018066
"Jumbled","f","3Iron",11,0.000281172173043619,4.99109339874607e-05,5.63347849018932
"Uninterrupted","c","Corn",11,0.000129351665235752,2.54711141099193e-05,5.07836699555194
"Interrupted","c","Corn",11,0.000106954461481938,2.6943977551455e-05,3.96951271495409
"Jumbled","c","Corn",11,0.000153684044258727,3.0108941093028e-05,5.10426599805975
"Uninterrupted","f","Corn",11,0.000336419032958694,4.86920763376506e-05,6.90911249349542
"Interrupted","f","Corn",11,0.00034824742210693,4.97623999151038e-05,6.99820391904433
"Jumbled","f","Corn",11,0.000345453784524946,5.38640510262662e-05,6.41343860966732
"Uninterrupted","c","3Iron",12,0.000114457567058926,2.44656793601699e-05,4.67829097953694
"Interrupted","c","3Iron",12,0.000144636735092382,2.61399091355545e-05,5.5331766588145
"Jumbled","c","3Iron",12,0.000118357223929332,2.96931308276312e-05,3.98601362100874
"Uninterrupted","f","3Iron",12,0.000321618687297159,4.62353128448818e-05,6.9561265514993
"Interrupted","f","3Iron",12,0.000344361313136512,4.67829489330974e-05,7.36082955413884
"Jumbled","f","3Iron",12,0.000279451688588132,4.99109339874607e-05,5.59900739702325
"Uninterrupted","c","Corn",12,0.00012700516804865,2.54711141099193e-05,4.98624314195937
"Interrupted","c","Corn",12,0.000130817248971544,2.6875991994825e-05,4.86743890222668
"Jumbled","c","Corn",12,0.000145475791496493,3.0108941093028e-05,4.83164755103855
"Uninterrupted","f","Corn",12,0.000309377534327327,4.86920763376506e-05,6.35375522255362
"Interrupted","f","Corn",12,0.000334573130900114,4.97623999151038e-05,6.72341228459451
"Jumbled","f","Corn",12,0.000301382758488504,5.38640510262662e-05,5.5952486444352
"Uninterrupted","c","3Iron",13,0.000108105679858933,2.44656793601699e-05,4.41866658462501
"Interrupted","c","3Iron",13,0.000138386603275691,2.61399091355545e-05,5.29407361586669
"Jumbled","c","3Iron",13,0.000105659185120518,2.96931308276312e-05,3.55837131940954
"Uninterrupted","f","3Iron",13,0.000317038161615257,4.62353128448818e-05,6.85705669774337
"Interrupted","f","3Iron",13,0.000306536300723485,4.67829489330974e-05,6.55230821729198
"Jumbled","f","3Iron",13,0.000315251845749473,4.99109339874607e-05,6.31628824715392
"Uninterrupted","c","Corn",13,0.000154972720631654,2.54711141099193e-05,6.08425371433999
"Interrupted","c","Corn",13,0.000192141480453957,2.63026665254308e-05,7.30501906596367
"Jumbled","c","Corn",13,0.000142994259230217,3.0108941093028e-05,4.74922910069823
"Uninterrupted","f","Corn",13,0.000357182633912671,4.86920763376506e-05,7.33553918374361
"Interrupted","f","Corn",13,0.000342226753486644,4.97623999151038e-05,6.87721560998855
"Jumbled","f","Corn",13,0.00033270318045484,5.38640510262662e-05,6.17672035645074
"Uninterrupted","c","3Iron",14,0.000127455783296784,2.43589355234848e-05,5.23240365630518
"Interrupted","c","3Iron",14,0.000159035426821844,2.58675677973602e-05,6.14806262682623
"Jumbled","c","3Iron",14,0.000145578220303366,2.96931308276312e-05,4.90275751480867
"Uninterrupted","f","3Iron",14,0.000302179782886593,4.62353128448818e-05,6.53569240248029
"Interrupted","f","3Iron",14,0.000331963498186086,4.67829489330974e-05,7.09582242583329
"Jumbled","f","3Iron",14,0.000297531387906222,4.99109339874607e-05,5.96124664749756
"Uninterrupted","c","Corn",14,0.000109450079573619,2.54711141099193e-05,4.29702757018371
"Interrupted","c","Corn",14,0.000140482433805505,2.6875991994825e-05,5.22706041260002
"Jumbled","c","Corn",14,0.000111887905737788,3.02405051813216e-05,3.69993507274136
"Uninterrupted","f","Corn",14,0.000313966308918222,4.86920763376506e-05,6.44799590678887
"Interrupted","f","Corn",14,0.000287120428556212,4.97623999151038e-05,5.76982679786443
"Jumbled","f","Corn",14,0.000301029287120302,5.38640510262662e-05,5.58868635731666
"Uninterrupted","c","3Iron",15,0.000123016898304099,2.43589355234848e-05,5.05017545555292
"Interrupted","c","3Iron",15,0.000150390782642298,2.6246061726965e-05,5.73003234568283
"Jumbled","c","3Iron",15,0.000126435659965872,2.96931308276312e-05,4.25807775878643
"Uninterrupted","f","3Iron",15,0.000312942238617942,4.62353128448818e-05,6.76846806828916
"Interrupted","f","3Iron",15,0.000348049489980377,4.50596826486229e-05,7.72418866538587
"Jumbled","f","3Iron",15,0.00026934643548915,4.99109339874607e-05,5.39654167875958
"Uninterrupted","c","Corn",15,0.000160168999629274,2.51715123778575e-05,6.36310592803988
"Interrupted","c","Corn",15,0.000126448311263556,2.6875991994825e-05,4.70487977849912
"Jumbled","c","Corn",15,0.000131438061454977,3.0108941093028e-05,4.36541627448375
"Uninterrupted","f","Corn",15,0.000390656895031937,4.86920763376506e-05,8.02300752843161
"Interrupted","f","Corn",15,0.000321583185798945,4.97623999151038e-05,6.46237292308201
"Jumbled","f","Corn",15,0.000307644547731429,5.38640510262662e-05,5.71150037678023
"Uninterrupted","c","3Iron",16,0.000125981376578379,2.44656793601699e-05,5.1493103757207
"Interrupted","c","3Iron",16,0.000128684103197194,2.61399091355545e-05,4.92289787733664
"Jumbled","c","3Iron",16,0.000117543066338531,2.96931308276312e-05,3.95859456589031
"Uninterrupted","f","3Iron",16,0.00032485659782889,4.62353128448818e-05,7.02615766694983
"Interrupted","f","3Iron",16,0.000301846049114645,4.67829489330974e-05,6.45205263880018
"Jumbled","f","3Iron",16,0.000301035138507376,4.99109339874607e-05,6.03144670831057
"Uninterrupted","c","Corn",16,0.000104110775966936,2.56033361906678e-05,4.06629726656025
"Interrupted","c","Corn",16,0.000127736084072341,2.6943977551455e-05,4.74080279455412
"Jumbled","c","Corn",16,0.000112098254844557,3.02405051813216e-05,3.70689094551887
"Uninterrupted","f","Corn",16,0.000374075471364564,4.86920763376506e-05,7.6824711431604
"Interrupted","f","Corn",16,0.000336677204925071,4.97623999151038e-05,6.76569469116147
"Jumbled","f","Corn",16,0.000334537328466273,5.38640510262662e-05,6.21077178734922
"Uninterrupted","c","3Iron",17,0.00014467035519034,2.43589355234848e-05,5.93910826073913
"Interrupted","c","3Iron",17,0.000115438370780216,2.6246061726965e-05,4.39831209653888
"Jumbled","c","3Iron",17,0.000113051344795838,2.96931308276312e-05,3.80732316346504
"Uninterrupted","f","3Iron",17,0.000283379758561362,4.62353128448818e-05,6.12907626497723
"Interrupted","f","3Iron",17,0.000290608704038315,4.67829489330974e-05,6.21185091290214
"Jumbled","f","3Iron",17,0.000257905006671537,4.99109339874607e-05,5.16730475803822
"Uninterrupted","c","Corn",17,0.000122757852263674,2.56033361906678e-05,4.79460377153577
"Interrupted","c","Corn",17,0.000130331883271157,2.6875991994825e-05,4.84937944974284
"Jumbled","c","Corn",17,0.000163284621573054,3.0108941093028e-05,5.42312733843915
"Uninterrupted","f","Corn",17,0.000299556145397195,4.86920763376506e-05,6.1520511739929
"Interrupted","f","Corn",17,0.000308048101416943,4.97623999151038e-05,6.19037871852006
"Jumbled","f","Corn",17,0.000337594220900488,5.38640510262662e-05,6.26752378382875
"Uninterrupted","c","3Iron",18,0.000127128442577057,2.43589355234848e-05,5.21896543691291
"Interrupted","c","3Iron",18,0.000111765987863411,2.61399091355545e-05,4.27568387035406
"Jumbled","c","3Iron",18,0.000114480818153599,2.96931308276312e-05,3.85546471398253
"Uninterrupted","f","3Iron",18,0.000316404037278277,4.62353128448818e-05,6.84334154588299
"Interrupted","f","3Iron",18,0.000305405523998411,4.67829489330974e-05,6.52813751512673
"Jumbled","f","3Iron",18,0.000350905601226963,4.99109339874607e-05,7.03063583853435
"Uninterrupted","c","Corn",18,0.000114610443342285,2.56033361906678e-05,4.47638708052661
"Interrupted","c","Corn",18,0.000150868692709321,2.66972134035219e-05,5.65110262367004
"Jumbled","c","Corn",18,0.000142698401021252,3.0108941093028e-05,4.73940284317389
"Uninterrupted","f","Corn",18,0.000312647876831422,4.86920763376506e-05,6.42091897382636
"Interrupted","f","Corn",18,0.000358338150691396,4.97623999151038e-05,7.2009820929604
"Jumbled","f","Corn",18,0.000308310222043974,5.38640510262662e-05,5.72385879208435
"Uninterrupted","c","3Iron",19,0.00012182686750369,2.43589355234848e-05,5.00132148164827
"Interrupted","c","3Iron",19,0.000160370907726119,2.58675677973602e-05,6.19969024465011
"Jumbled","c","3Iron",19,0.000127722159836147,2.96931308276312e-05,4.30140427351952
"Uninterrupted","f","3Iron",19,0.000313684927338191,4.62353128448818e-05,6.78453130382389
"Interrupted","f","3Iron",19,0.000251790480279651,4.67829489330974e-05,5.38209937641441
"Jumbled","f","3Iron",19,0.000293273679938023,4.99109339874607e-05,5.87594053062006
"Uninterrupted","c","Corn",19,0.000132133117165192,2.56033361906678e-05,5.16077733703129
"Interrupted","c","Corn",19,0.000204850990585626,2.63026665254308e-05,7.7882214104629
"Jumbled","c","Corn",19,0.00012785720000929,3.02405051813216e-05,4.2280113788662
"Uninterrupted","f","Corn",19,0.000301282699595937,4.86920763376506e-05,6.18750980152748
"Interrupted","f","Corn",19,0.000310196184641352,4.97623999151038e-05,6.23354551168265
"Jumbled","f","Corn",19,0.000306785407453297,5.38640510262662e-05,5.69555021592595
"Uninterrupted","c","3Iron",20,0.000147913300378427,2.41213466483135e-05,6.13204986168418
"Interrupted","c","3Iron",20,9.55843478977331e-05,2.6246061726965e-05,3.64185487682255
"Jumbled","c","3Iron",20,0.000117344270724888,2.96931308276312e-05,3.95189956242984
"Uninterrupted","f","3Iron",20,0.000274741757939784,4.62353128448818e-05,5.94224935519599
"Interrupted","f","3Iron",20,0.000328132463563459,4.67829489330974e-05,7.01393287611495
"Jumbled","f","3Iron",20,0.000272010811976577,4.99109339874607e-05,5.44992430005247
"Uninterrupted","c","Corn",20,0.0001362022935214,2.56033361906678e-05,5.31970882650224
"Interrupted","c","Corn",20,0.000140494629295563,2.66972134035219e-05,5.26252036765112
"Jumbled","c","Corn",20,0.000111461507705789,3.02405051813216e-05,3.68583484427485
"Uninterrupted","f","Corn",20,0.000306829429410558,4.86920763376506e-05,6.30142422522464
"Interrupted","f","Corn",20,0.000336909342095612,4.97623999151038e-05,6.77035960223764
"Jumbled","f","Corn",20,0.000300679327020704,5.38640510262662e-05,5.58218925780537
"Uninterrupted","c","3Iron",21,0.000134874083115251,2.43589355234848e-05,5.53694487122465
"Interrupted","c","3Iron",21,0.000113566664428403,2.6246061726965e-05,4.32699829825232
"Jumbled","c","3Iron",21,0.000103940955912327,2.96931308276312e-05,3.50050510051315
"Uninterrupted","f","3Iron",21,0.000302112196777419,4.62353128448818e-05,6.53423061699608
"Interrupted","f","3Iron",21,0.000311136441028157,4.67829489330974e-05,6.65063763879233
"Jumbled","f","3Iron",21,0.000263714754337214,4.99109339874607e-05,5.28370706113148
"Uninterrupted","c","Corn",21,0.000158219631192625,2.54711141099193e-05,6.21172794051475
"Interrupted","c","Corn",21,0.000126402505643493,2.6875991994825e-05,4.70317544624331
"Jumbled","c","Corn",21,0.00011122397175845,3.02405051813216e-05,3.67797995078299
"Uninterrupted","f","Corn",21,0.000356333625510081,4.86920763376506e-05,7.31810290937523
"Interrupted","f","Corn",21,0.00036399614959823,4.97623999151038e-05,7.31468237503053
"Jumbled","f","Corn",21,0.000302160334136034,5.38640510262662e-05,5.60968453688508
"Uninterrupted","c","3Iron",22,0.00016596066896913,2.41213466483135e-05,6.88024061793967
"Interrupted","c","3Iron",22,9.96807269510578e-05,2.6246061726965e-05,3.79793082817627
"Jumbled","c","3Iron",22,0.000123876184220248,2.96931308276312e-05,4.17188018802564
"Uninterrupted","f","3Iron",22,0.000312738512912135,4.62353128448818e-05,6.76406178890504
"Interrupted","f","3Iron",22,0.000249933341441722,4.67829489330974e-05,5.34240245947604
"Jumbled","f","3Iron",22,0.00030027308135122,4.99109339874607e-05,6.01617836738256
"Uninterrupted","c","Corn",22,0.000141287188062207,2.56033361906678e-05,5.51831163759452
"Interrupted","c","Corn",22,0.000138532477745282,2.6875991994825e-05,5.15450658609946
"Jumbled","c","Corn",22,0.000134187696008329,3.0108941093028e-05,4.45673913252969
"Uninterrupted","f","Corn",22,0.000317716403797114,4.86920763376506e-05,6.52501243927123
"Interrupted","f","Corn",22,0.000374576280645718,4.76444026163257e-05,7.86191577764407
"Jumbled","f","Corn",22,0.000346165760842074,5.38640510262662e-05,6.42665663362881
"Uninterrupted","c","3Iron",23,0.000120377047520721,2.43589355234848e-05,4.94180246114055
"Interrupted","c","3Iron",23,0.000102286960164544,2.6246061726965e-05,3.89723080089592
"Jumbled","c","3Iron",23,0.000112301167717093,2.96931308276312e-05,3.78205883269777
"Uninterrupted","f","3Iron",23,0.000284992395145616,4.62353128448818e-05,6.16395515916066
"Interrupted","f","3Iron",23,0.00026148330803713,4.67829489330974e-05,5.58928656701544
"Jumbled","f","3Iron",23,0.000310638807213562,4.99109339874607e-05,6.22386283718122
"Uninterrupted","c","Corn",23,0.000160114000545043,2.54711141099193e-05,6.28610118324934
"Interrupted","c","Corn",23,0.000133418912039672,2.6875991994825e-05,4.96424139675893
"Jumbled","c","Corn",23,0.000119564343939265,3.02405051813216e-05,3.95378130167995
"Uninterrupted","f","Corn",23,0.000292615026748335,4.86920763376506e-05,6.00949987671965
"Interrupted","f","Corn",23,0.000316902443821609,4.97623999151038e-05,6.3683111015999
"Jumbled","f","Corn",23,0.000321610580156587,5.38640510262662e-05,5.97078337089346
"Uninterrupted","c","3Iron",24,0.000137954089458275,2.41213466483135e-05,5.7191703046115
"Interrupted","c","3Iron",24,0.000129931441159437,2.6246061726965e-05,4.9505119096
"Jumbled","c","3Iron",24,0.000125961606870194,2.96931308276312e-05,4.2421126826067
"Uninterrupted","f","3Iron",24,0.000301736677566792,4.62353128448818e-05,6.52610870351652
"Interrupted","f","3Iron",24,0.000300988899647248,4.67829489330974e-05,6.43373080388073
"Jumbled","f","3Iron",24,0.000306445528012495,4.99109339874607e-05,6.1398475951078
"Uninterrupted","c","Corn",24,0.000114542402313947,2.56033361906678e-05,4.47372957418324
"Interrupted","c","Corn",24,0.000163535491574827,2.66972134035219e-05,6.12556408427456
"Jumbled","c","Corn",24,0.000135746653240392,3.02405051813216e-05,4.4889016379342
"Uninterrupted","f","Corn",24,0.000356371377412076,4.86920763376506e-05,7.31887822858184
"Interrupted","f","Corn",24,0.00029115629590092,4.97623999151038e-05,5.8509295451514
"Jumbled","f","Corn",24,0.000320956013388872,5.38640510262662e-05,5.95863117002399
"Uninterrupted","c","3Iron",25,0.000126613697239853,2.43589355234848e-05,5.19783375253744
"Interrupted","c","3Iron",25,9.93583308682279e-05,2.6246061726965e-05,3.78564722973839
"Jumbled","c","3Iron",25,0.000120859162556683,2.96931308276312e-05,4.07027346689278
"Uninterrupted","f","3Iron",25,0.000305816540705703,4.62353128448818e-05,6.61434998248437
"Interrupted","f","3Iron",25,0.00027260685043479,4.67829489330974e-05,5.82705572546603
"Jumbled","f","3Iron",25,0.000278011030622481,4.99109339874607e-05,5.57014282065582
"Uninterrupted","c","Corn",25,0.000176654651798361,2.54711141099193e-05,6.9354897880013
"Interrupted","c","Corn",25,0.000129581455951268,2.6875991994825e-05,4.82145760335914
"Jumbled","c","Corn",25,0.00015520854383396,3.0108941093028e-05,5.15489878419869
"Uninterrupted","f","Corn",25,0.000333639363825827,4.86920763376506e-05,6.85202581036464
"Interrupted","f","Corn",25,0.000326391296941635,4.97623999151038e-05,6.55899429083945
"Jumbled","f","Corn",25,0.000341238199172299,5.38640510262662e-05,6.33517518030529
"Uninterrupted","c","3Iron",26,0.00013786293962042,2.41213466483135e-05,5.7153915007502
"Interrupted","c","3Iron",26,0.000122504741352006,2.6246061726965e-05,4.66754755918849
"Jumbled","c","3Iron",26,0.000122443720805453,2.96931308276312e-05,4.12363793889704
"Uninterrupted","f","3Iron",26,0.00029003250213907,4.62353128448818e-05,6.27296506270264
"Interrupted","f","3Iron",26,0.000303288182802911,4.67829489330974e-05,6.48287869233367
"Jumbled","f","3Iron",26,0.000260620052751576,5.12038142689285e-05,5.0898562240455
"Uninterrupted","c","Corn",26,0.000164582204345383,2.51715123778575e-05,6.53843129784128
"Interrupted","c","Corn",26,0.000130042945823676,2.6875991994825e-05,4.83862868573246
"Jumbled","c","Corn",26,0.000104518170865183,3.02496624614048e-05,3.4551846982933
"Uninterrupted","f","Corn",26,0.000348852757579607,4.86920763376506e-05,7.16446666107481
"Interrupted","f","Corn",26,0.000309698445398147,4.97623999151038e-05,6.22354319579647
"Jumbled","f","Corn",26,0.000315046073223395,5.38640510262662e-05,5.84891160655122
"Uninterrupted","c","3Iron",27,0.000122280262287415,2.43589355234848e-05,5.01993456033915
"Interrupted","c","3Iron",27,0.000121550645172333,2.6246061726965e-05,4.6311955841913
"Jumbled","c","3Iron",27,9.83543850275655e-05,2.96931308276312e-05,3.31236155589363
