startTime,endTime,description,normativeEventNo,clipNo
299.888,303.765,man and girl sitting in front of fire ,37,separated
299.888,303.765,man and girl sitting opposite each other looking at fire ,37,separated
303.766,307.413,man stand up and walk away ,37,6
303.766,307.413,girl sitting in front of fire ,37,6
307.413,314.729,girl sitting in front of fire ,37,6
314.729,315.37,"girl walk towards crate table, carrying jug and bundle of food ",38,6
315.37,317.13,girl put jug down on crate table ,38,6
317.13,318.088,girl put bundle of food down on crate table and sit by the crate table ,38,6
318.088,320.686,man sitting by the fire,39,6
318.088,320.686,man cleaning and gutting fish ,39,6
320.686,322.112,girl pick up block of cheese ,40,6
322.112,324.572,girl break cheese in half ,40,6
324.572,325.762,girl put cheese on crate table,40,6
325.756,326.735,"man sitting by fire, cleaning and gutting fish ",40,6
326.735,328.373,man turn around to look at girl at the crate table ,40,6
328.37,329.183,girl open a jar of jam ,40,6
329.183,332.401,girl look up at man while opening a jar of jam ,40,6
332.401,332.873,"man sitting by the fire, looking at girl at crate table ",41,6
332.876,335.974,"man sitting by the fire, cleaning and gutting fish ",41,6
335.974,337.208,girl eating fish ,42,6
337.208,339.816,man put jar of jam on table ,42,6
337.208,339.816,"girl eating fish, picking fish meat ",42,6
339.816,341.533,man pick fish from table ,42,6
339.816,341.533,"girl eating fish, picking fish meat ",42,6
341.533,348.711,girl eating fish ,43,6
348.711,351.502,girl drink water from jug ,44,6
351.502,352.852,girl put water jug down on crate table ,44,6
352.852,356.092,man watching girl drink water ,45,6
356.092,360.964,girl eating fish ,45,separated
360.964,370.809,man and girl lying on ground inside the house structure ,46,7
360.964,370.809,"man sleeping on the ground, his hand over his head ",46,7
360.964,370.809,"girl lying on the ground, moving leg, shifting sand ",46,7
370.809,381.189,"man and girl row away on boat, leaving island ",47,7
381.189,381.533,planks of wood piled up on ground in island,47,7
381.533,385.483,girl pick up a plank of wood from pile of wood on ground ,48,7
385.483,389.306,girl pass plank of wood to man ,48,7
389.306,390.28,man grab the plank of wood from girl ,48,7
390.28,393.485,man place plank of wood on side of house to build wall ,48,7
390.28,393.485,girl hold plank of wood in place on side of house structure,48,7
393.485,396.266,man nail down plank of wood on side of wall ,48,7
393.485,396.266,man hammer nail down plank of wood to build side wall ,48,7
396.266,401.351,girl take another piece of wood plank from pile of wood ,49,7
401.351,405.132,girl carry plank of wood to man ,50,7
405.132,405.394,man take plank of wood from girl ,50,7
405.394,410.251,man place plank of wood on side of house to build wall ,50,7
405.394,410.251,girl help man hold plank of wood on side of house to build wall ,50,7
410.251,416.533,man and girl sitting on ground ,51,7
410.251,416.533,"man sitting on ground, leaning on half-built house, staring into space ",51,7
410.251,416.533,"girl sitting on ground, leaning on half-built house, holding doll ",51,7
416.533,418.309,man hammer in long blocks of wood to build the skeleton for roof of house ,51,7
418.309,424.387,man descend down the ladder ,52,separated
424.387,425.948,girl sitting at the bottom of the ladder ,52,8
425.948,430.449,"girl walk away, giving way to man stepping down the ladder ",52,8
430.449,431.957,man pass hammer to girl ,53,8
431.957,433.591,girl store hammer in tool box ,53,8
433.591,440.808,man store ladder inside house ,54,8
440.808,441.879,"the house is half built, walls are installed, there is a skeleton and beams for the roof, no door ",54,8
441.884,445.042,girl walk along tree trunk on water ,55,8
445.046,462.539,girl wash feet with water ,56,8
445.046,462.539,girl splash water on leg ,56,8
445.046,462.539,girl rub knee with water ,56,8
462.539,465.196,"the river around the bend is calm, misty ",57,8
465.196,472.816,"girl unwind rope, releasing boat ",58,8
472.816,474.144,man carry toolbox towards house ,58,8
474.144,477.061,man store toolbox inside house ,58,8
477.061,479.661,man take padlock from toolbox ,59,8
479.661,482.787,man close the house door ,59,separated
482.787,484.637,girl wearing green boots step out of boat and into water ,60,9
484.637,488.656,girl walk around the boat ,60,9
488.658,489.504,girl pick up a bundle of straw hay ,60,9
489.504,504.797,girl carry two bundles of straw hay over her shoulders,61,9
489.504,504.797,man pick up two bundles of straw hay from boat ,61,9
504.797,506.82,girl put bundles of straw hay down on ground by side of house ,61,9
504.797,506.82,man carrying bundles of straw hay over shoulder walking towards house ,61,9
506.82,512.318,girl walk to boat to get more straw hay ,62,9
512.318,513.09,man put bundles of straw hay down on ground by side of house ,62,9
513.818,516.846,man adjust the stacked bundles of hay on side of house ,62,9
516.846,520.262,man walk back towards boat ,62,9
520.262,530.171,girl carry bundles of straw hay towards house ,62,9
530.171,531,girl pick up bundle of straw using pitchfork ,63,9
530.171,531,"man push the bundles of straw in place, working on roof standing on ladder",63,9
531,533.843,girl pass bundle of straw to man on roof,64,9
533.843,536.675,man take bundle of straw from girl to install as roof ,64,9
533.843,536.675,girl pass bundle of straw to man using pitchfork ,64,9
536.675,542.58,"man step down the ladder, the house is complete ",65,separated
536.675,542.58,"girl standing, looking at completed house ",65,10
542.58,546.015,"man step back from house, looking at completed house ",65,10
546.015,549.362,man lock the house door using padlock ,66,10
549.362,553.202,man turn the key to lock the house using padlock ,66,10
553.206,556.141,man pull on padlock to ensure house is locked securely ,67,10
556.141,559.487,man turn around and look at river ,67,10
559.487,563.828,"man and girl row away on boat, leaving island ",68,10
563.828,566,completed house is standing in the middle of the island ,69,10
