"subid","indiv_cond","movName","grain","group_cond","comparison_type","grainorder","min_corr","max_corr","act_corr","agreementIndex"
8,"Uninterrupted","3Iron","c","random","random","2",-0.253097220992587,0.543860984048798,-0.0161637005748765,0.297297297297299
8,"Uninterrupted","3Iron","c","Interrupted","crossCond","2",-0.197110908415647,0.665690166363365,0.145196039730382,0.396739130434792
8,"Uninterrupted","3Iron","c","Jumbled","crossCond","2",-0.192079130286241,0.668362330827257,0.108179087914825,0.348958333333335
9,"Uninterrupted","3Iron","c","Uninterrupted","same","1",-0.206758381033429,0.714608654446767,0.149325497413031,0.386473429951699
9,"Uninterrupted","3Iron","c","random","random","1",-0.286572806249117,0.558617963292539,0.0157217025650558,0.357664233576647
9,"Uninterrupted","3Iron","c","Interrupted","crossCond","1",-0.229448709754081,0.70803679310366,0.155370666964823,0.410480349344985
9,"Uninterrupted","3Iron","c","Jumbled","crossCond","1",-0.223591423575243,0.703675290362342,0.136360212214873,0.388185654008437
10,"Uninterrupted","3Iron","c","Uninterrupted","same","2",-0.187565707514813,0.69652204626248,0.239577813973086,0.483146067415722
10,"Uninterrupted","3Iron","c","random","random","2",-0.254238602975311,0.560369633119089,0.0554471727299931,0.380165289256192
10,"Uninterrupted","3Iron","c","Interrupted","crossCond","2",-0.204645368687161,0.674684067570769,0.239551975401898,0.505154639175259
10,"Uninterrupted","3Iron","c","Jumbled","crossCond","2",-0.199421253498807,0.675619937678811,0.190448584154587,0.445544554455446
11,"Uninterrupted","3Iron","c","Uninterrupted","same","1",-0.152183956651157,0.633289217548854,0.0672864890812017,0.279411764705886
11,"Uninterrupted","3Iron","c","random","random","1",-0.22315451821768,0.488236779677802,-0.028368805698678,0.273809523809525
11,"Uninterrupted","3Iron","c","Interrupted","crossCond","1",-0.168599312668523,0.638186089681652,0.172524716513095,0.42281879194631
11,"Uninterrupted","3Iron","c","Jumbled","crossCond","1",-0.164295368554332,0.622284083634565,0.0168249000417939,0.230263157894735
12,"Uninterrupted","3Iron","c","Uninterrupted","same","2",-0.200773927167859,0.721245538116128,0.146124485513246,0.376237623762377
12,"Uninterrupted","3Iron","c","random","random","2",-0.316158374405328,0.539170351102,-0.0861540112436932,0.26890756302521
12,"Uninterrupted","3Iron","c","Interrupted","crossCond","2",-0.222581929117244,0.69829386852091,0.248368250496793,0.51141552511416
12,"Uninterrupted","3Iron","c","Jumbled","crossCond","2",-0.216899935705843,0.695342030436921,0.225155642601222,0.484581497797355
13,"Uninterrupted","3Iron","c","Uninterrupted","same","1",-0.128130593484023,0.588782781968776,0.140711922310778,0.375000000000003
13,"Uninterrupted","3Iron","c","random","random","1",-0.192558985338449,0.40829962419134,-0.0578837797541872,0.224137931034481
13,"Uninterrupted","3Iron","c","Interrupted","crossCond","1",-0.140322408603866,0.587161510187815,0.162259398327188,0.415929203539824
13,"Uninterrupted","3Iron","c","Jumbled","crossCond","1",-0.136740307377944,0.564677926327139,0.0601490213813756,0.280701754385962
14,"Uninterrupted","3Iron","c","Uninterrupted","same","2",-0.148757904218738,0.628727100970846,0.0945770974054777,0.312977099236634
14,"Uninterrupted","3Iron","c","random","random","2",-0.220615635557177,0.518744872796616,-0.000567865213789481,0.297619047619043
14,"Uninterrupted","3Iron","c","Interrupted","crossCond","2",-0.164186070075885,0.629529141097959,0.0522817147897038,0.272727272727266
14,"Uninterrupted","3Iron","c","Jumbled","crossCond","2",-0.159994785670564,0.614482647425678,0.0574954523907053,0.280821917808214
15,"Uninterrupted","3Iron","c","Uninterrupted","same","1",-0.250676699049824,0.775932763164653,0.188208387026993,0.427509293680293
15,"Uninterrupted","3Iron","c","random","random","1",-0.354975116262529,0.644814574172408,-0.0307190004457961,0.324324324324321
15,"Uninterrupted","3Iron","c","Interrupted","crossCond","1",-0.279841077361576,0.73986755440089,0.148782211921623,0.42033898305084
15,"Uninterrupted","3Iron","c","Jumbled","crossCond","1",-0.272697392498593,0.751404147943997,0.130336116965906,0.39354838709677
16,"Uninterrupted","3Iron","c","Uninterrupted","same","2",-0.182017841282639,0.690447234526884,0.147026130165523,0.377142857142856
16,"Uninterrupted","3Iron","c","random","random","2",-0.267095010653543,0.530327179588643,-0.0549368132496568,0.266055045871562
16,"Uninterrupted","3Iron","c","Interrupted","crossCond","2",-0.200906746265321,0.67014559448096,0.0664003212652867,0.30687830687831
16,"Uninterrupted","3Iron","c","Jumbled","crossCond","2",-0.195778069318756,0.671934563120626,0.108141583667629,0.350253807106602
17,"Uninterrupted","3Iron","c","Uninterrupted","same","1",-0.18177701328802,0.68455478469543,0.136873762981753,0.36781609195402
17,"Uninterrupted","3Iron","c","random","random","1",-0.256343734113839,0.551108034403676,0.00344509575701705,0.321739130434787
17,"Uninterrupted","3Iron","c","Interrupted","crossCond","1",-0.200906746265321,0.67014559448096,0.15857517213791,0.412698412698417
17,"Uninterrupted","3Iron","c","Jumbled","crossCond","1",-0.195778069318756,0.671934563120626,0.0596906244958862,0.294416243654825
18,"Uninterrupted","3Iron","c","Uninterrupted","same","2",-0.067994596704694,0.374463929516035,0.0963471416058645,0.371428571428576
18,"Uninterrupted","3Iron","c","random","random","2",-0.105596895496908,0.247792715001264,0.071097909752181,0.500000000000008
18,"Uninterrupted","3Iron","c","Interrupted","crossCond","2",-0.0743616465893515,0.427153733270893,-0.0265982770788525,0.0952380952380942
18,"Uninterrupted","3Iron","c","Jumbled","crossCond","2",-0.0724633685590673,0.406841126471471,0.087304796451111,0.333333333333331
19,"Uninterrupted","3Iron","c","Uninterrupted","same","1",-0.18000076496721,0.687726136984091,0.061582292962414,0.278409090909091
19,"Uninterrupted","3Iron","c","random","random","1",-0.264836560076079,0.547604762240631,0.0398289357926908,0.375000000000004
19,"Uninterrupted","3Iron","c","Interrupted","crossCond","1",-0.200906746265321,0.67014559448096,0.0986615190707043,0.343915343915347
19,"Uninterrupted","3Iron","c","Jumbled","crossCond","1",-0.195778069318756,0.671934563120626,0.0112396653241439,0.238578680203048
20,"Uninterrupted","3Iron","c","Uninterrupted","same","2",-0.190331488372299,0.707291026154945,0.219452703042316,0.456521739130438
20,"Uninterrupted","3Iron","c","random","random","2",-0.275612034027965,0.550900241906278,-0.00717214953649803,0.324786324786329
20,"Uninterrupted","3Iron","c","Interrupted","crossCond","2",-0.208329925513643,0.679294898164273,0.282316961946515,0.552763819095482
20,"Uninterrupted","3Iron","c","Jumbled","crossCond","2",-0.203011752251056,0.679405426704568,0.240328279688006,0.502415458937203
21,"Uninterrupted","3Iron","c","Uninterrupted","same","1",-0.101965210910938,0.51700954181214,0.0676169131227837,0.273972602739729
21,"Uninterrupted","3Iron","c","random","random","1",-0.150600750003908,0.438003028389166,-0.0128424188906339,0.234042553191492
21,"Uninterrupted","3Iron","c","Interrupted","crossCond","1",-0.112022224656693,0.535556633473208,0.0238893875434121,0.209876543209881
21,"Uninterrupted","3Iron","c","Jumbled","crossCond","1",-0.109162560599712,0.494455158623712,0.0360113212388358,0.240506329113929
22,"Uninterrupted","3Iron","c","Uninterrupted","same","2",-0.145684261124599,0.62636742090204,0.154558059663537,0.388888888888887
22,"Uninterrupted","3Iron","c","random","random","2",-0.212655472465966,0.467100994933826,-0.00693969943708564,0.302631578947362
22,"Uninterrupted","3Iron","c","Interrupted","crossCond","2",-0.159666988319281,0.620898156988359,0.108118134523482,0.343065693430653
22,"Uninterrupted","3Iron","c","Jumbled","crossCond","2",-0.155591065447884,0.606740441196972,0.182012887494826,0.442857142857128
23,"Uninterrupted","3Iron","c","Uninterrupted","same","1",-0.146867629893104,0.632457000800949,-0.0238163724150979,0.157894736842103
23,"Uninterrupted","3Iron","c","random","random","1",-0.226499810873193,0.478360604431037,0.0446003488592001,0.38461538461538
23,"Uninterrupted","3Iron","c","Interrupted","crossCond","1",-0.164186070075885,0.629529141097959,0.0300798907009255,0.244755244755239
23,"Uninterrupted","3Iron","c","Jumbled","crossCond","1",-0.159994785670564,0.614482647425678,-0.0220741469000029,0.178082191780819
24,"Uninterrupted","3Iron","c","Uninterrupted","same","2",-0.157116789749113,0.65031387452347,0.132875913616393,0.359154929577465
24,"Uninterrupted","3Iron","c","random","random","2",-0.227684643974422,0.505676752141293,0.060715905059846,0.39325842696629
24,"Uninterrupted","3Iron","c","Interrupted","crossCond","2",-0.172914898736073,0.641563929988773,0.192013927121161,0.448051948051945
24,"Uninterrupted","3Iron","c","Jumbled","crossCond","2",-0.168500787854528,0.630125151504697,0.0993927234495092,0.335443037974675
25,"Uninterrupted","3Iron","c","Uninterrupted","same","1",-0.244196408690614,0.769615974377534,0.211626213153973,0.449612403100769
25,"Uninterrupted","3Iron","c","random","random","1",-0.362662522392817,0.611918077288226,0.0225010679002835,0.395209580838317
25,"Uninterrupted","3Iron","c","Interrupted","crossCond","1",-0.270893194896397,0.734033562224129,0.290161319679718,0.558303886925786
25,"Uninterrupted","3Iron","c","Jumbled","crossCond","1",-0.263977928438339,0.74734879764164,0.153448874608093,0.412751677852346
26,"Uninterrupted","3Iron","c","Uninterrupted","same","2",-0.250261885360568,0.775380325736736,0.124060089492461,0.364963503649633
26,"Uninterrupted","3Iron","c","random","random","2",-0.361868954173149,0.644865381525706,0.0440723102215501,0.403225806451612
26,"Uninterrupted","3Iron","c","Interrupted","crossCond","2",-0.282782464501622,0.741910496668829,0.0804866120337222,0.354515050167225
26,"Uninterrupted","3Iron","c","Jumbled","crossCond","2",-0.275563692939479,0.752877488664494,0.0814429592733653,0.347133757961783
27,"Uninterrupted","3Iron","c","Uninterrupted","same","1",-0.182075783286319,0.68565830657292,0.293111932588988,0.547619047619058
27,"Uninterrupted","3Iron","c","random","random","1",-0.255483402794269,0.51275099349034,-0.0525535622662577,0.264150943396228
27,"Uninterrupted","3Iron","c","Interrupted","crossCond","1",-0.197110908415647,0.665690166363365,0.332761490769304,0.614130434782625
27,"Uninterrupted","3Iron","c","Jumbled","crossCond","1",-0.192079130286241,0.668362330827257,0.260548929987007,0.526041666666669
28,"Uninterrupted","3Iron","c","Uninterrupted","same","2",-0.13834197071843,0.605977738084427,0.233817883682999,0.5
28,"Uninterrupted","3Iron","c","random","random","2",-0.196490281431995,0.443378430721665,-0.0295680086962567,0.260869565217392
28,"Uninterrupted","3Iron","c","Interrupted","crossCond","2",-0.150272535958586,0.60380430836741,0.103097283734946,0.335999999999996
28,"Uninterrupted","3Iron","c","Jumbled","crossCond","2",-0.146436431371761,0.591540536140253,0.153366711679995,0.40625
29,"Uninterrupted","3Iron","c","Uninterrupted","same","1",-0.1129467977743,0.557317563354638,0.0873620917584894,0.298850574712649
29,"Uninterrupted","3Iron","c","random","random","1",-0.160723689505406,0.398393729029951,-0.051092823125922,0.196078431372553
29,"Uninterrupted","3Iron","c","Interrupted","crossCond","1",-0.124059309194221,0.56412733162688,0.0787746481004243,0.29473684210527
29,"Uninterrupted","3Iron","c","Jumbled","crossCond","1",-0.120892366665416,0.522969681835437,0.0521888291681525,0.268817204301085
30,"Uninterrupted","3Iron","c","Uninterrupted","same","2",-0.136896221884429,0.61902760333365,0.12800016131165,0.35042735042735
30,"Uninterrupted","3Iron","c","random","random","2",-0.192412550700742,0.479582115552664,0.0436936833882928,0.351351351351351
30,"Uninterrupted","3Iron","c","Interrupted","crossCond","2",-0.150272535958586,0.60380430836741,0.12119512799877,0.359999999999997
30,"Uninterrupted","3Iron","c","Jumbled","crossCond","2",-0.146436431371761,0.591540536140253,0.182193936973433,0.4453125
31,"Uninterrupted","3Iron","c","Uninterrupted","same","1",-0.198918334786673,0.71776188048407,0.187297187383235,0.421319796954316
31,"Uninterrupted","3Iron","c","random","random","1",-0.314105022176637,0.538228729568729,0.0459325108882152,0.422413793103448
31,"Uninterrupted","3Iron","c","Interrupted","crossCond","1",-0.21908694994978,0.693474885196772,0.173229353010423,0.429906542056078
31,"Uninterrupted","3Iron","c","Jumbled","crossCond","1",-0.213494175140632,0.691256152295373,0.0962401711888196,0.342342342342352
32,"Uninterrupted","3Iron","c","Uninterrupted","same","2",-0.0681679380991548,0.375418565661602,0.147288363727499,0.485714285714287
32,"Uninterrupted","3Iron","c","random","random","2",-0.0993974741168151,0.288685656360104,0.029963569375492,0.333333333333335
32,"Uninterrupted","3Iron","c","Interrupted","crossCond","2",-0.0743616465893515,0.427153733270893,0.080869304319773,0.309523809523812
32,"Uninterrupted","3Iron","c","Jumbled","crossCond","2",-0.0724633685590673,0.406841126471471,0.0530687610917875,0.261904761904761
33,"Uninterrupted","3Iron","c","Uninterrupted","same","1",-0.169380913612164,0.659843241725989,0.19677001212156,0.441558441558434
33,"Uninterrupted","3Iron","c","random","random","1",-0.243966144474934,0.531595487086695,0.00421357762478291,0.319999999999994
33,"Uninterrupted","3Iron","c","Interrupted","crossCond","1",-0.185343914901932,0.652956640952917,0.151960450767469,0.402366863905319
33,"Uninterrupted","3Iron","c","Jumbled","crossCond","1",-0.180612520455432,0.653746495609278,0.0801246720647877,0.312499999999997
35,"Uninterrupted","3Iron","c","Uninterrupted","same","1",-0.168372446559376,0.666619666980244,0.147425852792141,0.378205128205121
35,"Uninterrupted","3Iron","c","random","random","1",-0.239689413841426,0.529896269449424,0.118434616996882,0.465346534653455
35,"Uninterrupted","3Iron","c","Interrupted","crossCond","1",-0.185343914901932,0.652956640952917,0.127158659174131,0.372781065088752
35,"Uninterrupted","3Iron","c","Jumbled","crossCond","1",-0.180612520455432,0.653746495609278,0.0469399384713052,0.27272727272727
2,"Uninterrupted","Corn","c","Uninterrupted","same","2",-0.114436114014851,0.6523214997644,0.248764860933219,0.473684210526321
2,"Uninterrupted","Corn","c","random","random","2",-0.181800554224145,0.502056483804458,0.0105342377213992,0.281249999999999
2,"Uninterrupted","Corn","c","Interrupted","crossCond","2",-0.13490785672112,0.652219927166242,0.155426161925857,0.368852459016392
2,"Uninterrupted","Corn","c","Jumbled","crossCond","2",-0.121534145167006,0.600373449849938,0.180246898651557,0.418032786885252
4,"Uninterrupted","Corn","c","Uninterrupted","same","2",-0.114134925213828,0.643896388059897,0.221277160305525,0.442477876106202
4,"Uninterrupted","Corn","c","random","random","2",-0.183335294204783,0.441641968324256,0.0321741066672986,0.344827586206896
4,"Uninterrupted","Corn","c","Interrupted","crossCond","2",-0.13490785672112,0.652219927166242,0.200589231493165,0.426229508196721
4,"Uninterrupted","Corn","c","Jumbled","crossCond","2",-0.121534145167006,0.600373449849938,0.180246898651558,0.418032786885254
5,"Uninterrupted","Corn","c","Uninterrupted","same","1",-0.12334250514104,0.671767335424738,0.0830218809599997,0.259541984732822
5,"Uninterrupted","Corn","c","random","random","1",-0.196517539363065,0.490080777177036,-0.0127799616974066,0.267605633802813
5,"Uninterrupted","Corn","c","Interrupted","crossCond","1",-0.148188119168284,0.660909411922221,0.235690271495086,0.474452554744516
5,"Uninterrupted","Corn","c","Jumbled","crossCond","1",-0.133497906087514,0.641057902006482,0.0885775353939794,0.286713286713284
6,"Uninterrupted","Corn","c","Uninterrupted","same","2",-0.177750102089234,0.7589404920086,0.0532147019348864,0.24657534246575
6,"Uninterrupted","Corn","c","random","random","2",-0.277642523944887,0.590860873379535,-0.0170915047475637,0.299999999999996
6,"Uninterrupted","Corn","c","Interrupted","crossCond","2",-0.219352328854981,0.720639196591826,0.0746538310865267,0.312775330396471
6,"Uninterrupted","Corn","c","Jumbled","crossCond","2",-0.197607451676373,0.755645527266107,0.102420378349343,0.314741035856568
7,"Uninterrupted","Corn","c","Uninterrupted","same","1",-0.108542168441085,0.648986189088312,0.0552477467004063,0.216216216216217
7,"Uninterrupted","Corn","c","random","random","1",-0.170604151028824,0.515906043024522,0.0332035628307603,0.296874999999996
7,"Uninterrupted","Corn","c","Interrupted","crossCond","1",-0.130215262744978,0.643767472252688,0.103314010745697,0.301724137931035
7,"Uninterrupted","Corn","c","Jumbled","crossCond","1",-0.117306738317861,0.586425574779791,0.0785144270658336,0.278260869565217
8,"Uninterrupted","Corn","c","Uninterrupted","same","2",-0.154124084079324,0.727962208295164,0.251020201371755,0.459302325581402
8,"Uninterrupted","Corn","c","random","random","2",-0.241405105113061,0.537761448732745,0.0156395312072071,0.329896907216498
8,"Uninterrupted","Corn","c","Interrupted","crossCond","2",-0.183001610649587,0.701914218869027,0.230283254784936,0.467032967032973
8,"Uninterrupted","Corn","c","Jumbled","crossCond","2",-0.164860259847274,0.70916305133155,0.205261856621312,0.423469387755105
9,"Uninterrupted","Corn","c","Uninterrupted","same","1",-0.139137193828733,0.714158716863624,0.071486480329507,0.246835443037974
9,"Uninterrupted","Corn","c","random","random","1",-0.218888970704018,0.511781687503971,-0.0999425844841148,0.162790697674416
9,"Uninterrupted","Corn","c","Interrupted","crossCond","1",-0.168279578609599,0.681992704515514,0.0784043553834881,0.290123456790122
9,"Uninterrupted","Corn","c","Jumbled","crossCond","1",-0.151597655114031,0.681173127127537,0.0505779105168654,0.242774566473983
10,"Uninterrupted","Corn","c","Uninterrupted","same","2",-0.146777569573076,0.706294592290027,0.339911035592417,0.570512820512826
10,"Uninterrupted","Corn","c","random","random","2",-0.226865396332457,0.508475957419708,-0.0155604096220658,0.287356321839079
10,"Uninterrupted","Corn","c","Interrupted","crossCond","2",-0.172057413592844,0.686794025339504,0.208511487490947,0.443113772455085
10,"Uninterrupted","Corn","c","Jumbled","crossCond","2",-0.15500098503439,0.68928771377068,0.264785016047458,0.497206703910612
11,"Uninterrupted","Corn","c","Uninterrupted","same","1",-0.109521605712068,0.641070034234647,0.152152543994122,0.348623853211004
11,"Uninterrupted","Corn","c","random","random","1",-0.170872808684682,0.441513167074629,0.00102500907231416,0.28070175438596
11,"Uninterrupted","Corn","c","Interrupted","crossCond","1",-0.130215262744978,0.643767472252688,0.15669213040071,0.370689655172416
11,"Uninterrupted","Corn","c","Jumbled","crossCond","1",-0.117306738317861,0.586425574779791,0.121350306993517,0.339130434782608
12,"Uninterrupted","Corn","c","Uninterrupted","same","2",-0.176002215503517,0.734601070717098,0.263283791919502,0.482412060301517
12,"Uninterrupted","Corn","c","random","random","2",-0.26606245281491,0.584775206352225,0.0383022382692664,0.35772357723577
12,"Uninterrupted","Corn","c","Interrupted","crossCond","2",-0.209920172341641,0.715127293610001,0.297780297343441,0.54883720930232
12,"Uninterrupted","Corn","c","Jumbled","crossCond","2",-0.18911032551344,0.742156064930177,0.308091221926798,0.533898305084748
13,"Uninterrupted","Corn","c","Uninterrupted","same","1",-0.105444974478786,0.628815790232657,0.144061110617338,0.339805825242722
13,"Uninterrupted","Corn","c","random","random","1",-0.168146827801601,0.468449189159645,-0.0317333955956196,0.214285714285714
13,"Uninterrupted","Corn","c","Interrupted","crossCond","1",-0.125365062958982,0.63560099142594,0.165185612351629,0.381818181818187
13,"Uninterrupted","Corn","c","Jumbled","crossCond","1",-0.112937349468263,0.572286898501567,0.14084940903908,0.370370370370368
14,"Uninterrupted","Corn","c","Uninterrupted","same","2",-0.101089769610861,0.615968438551365,0.12068081023312,0.309278350515454
14,"Uninterrupted","Corn","c","random","random","2",-0.156029661058755,0.403056465530853,-0.0419304515506738,0.204081632653057
14,"Uninterrupted","Corn","c","Interrupted","crossCond","2",-0.120338100850868,0.627822225351687,0.203385117217531,0.43269230769229
14,"Uninterrupted","Corn","c","Jumbled","crossCond","2",-0.108408721133003,0.557966865134662,0.109317955568313,0.326732673267326
15,"Uninterrupted","Corn","c","Uninterrupted","same","1",-0.223179085309818,0.77518525887562,0.272249837368664,0.496240601503754
15,"Uninterrupted","Corn","c","random","random","1",-0.354105860929614,0.664211522477018,0.0210637013780925,0.368421052631579
15,"Uninterrupted","Corn","c","Interrupted","crossCond","1",-0.27094200360185,0.759881205919219,0.190672430291417,0.447811447811441
15,"Uninterrupted","Corn","c","Jumbled","crossCond","1",-0.244082928881275,0.803190308876735,0.265229284010157,0.486322188449846
16,"Uninterrupted","Corn","c","Uninterrupted","same","2",-0.133749642576189,0.69945174718303,0.121312007350102,0.306122448979592
16,"Uninterrupted","Corn","c","random","random","2",-0.218018077517593,0.493397305409318,-0.00551737872124484,0.298701298701296
16,"Uninterrupted","Corn","c","Interrupted","crossCond","2",-0.160501394041468,0.67287756257485,0.0588088576996657,0.263157894736839
16,"Uninterrupted","Corn","c","Jumbled","crossCond","2",-0.14459053903188,0.664992100588353,0.0615764685732697,0.254658385093164
17,"Uninterrupted","Corn","c","Uninterrupted","same","1",-0.152612993896449,0.74001531221649,0.0337599491381196,0.208791208791207
17,"Uninterrupted","Corn","c","random","random","1",-0.245018246396121,0.510904501513236,-0.000918192383723789,0.322916666666667
17,"Uninterrupted","Corn","c","Interrupted","crossCond","1",-0.18653283482411,0.70713945846999,0.028521995112975,0.240641711229949
17,"Uninterrupted","Corn","c","Jumbled","crossCond","1",-0.16804142602895,0.712944789344757,0.0598754058090249,0.258706467661693
18,"Uninterrupted","Corn","c","Uninterrupted","same","2",-0.0582994704160697,0.447022126145892,0.131196128294661,0.374999999999991
18,"Uninterrupted","Corn","c","random","random","2",-0.0919919647574828,0.286752900863491,0.0276116770175603,0.315789473684208
18,"Uninterrupted","Corn","c","Interrupted","crossCond","2",-0.0689809626035285,0.462976790198977,0.141327916411412,0.395348837209297
18,"Uninterrupted","Corn","c","Jumbled","crossCond","2",-0.0621427285747145,0.391699650435471,0.130740282504609,0.424999999999988
19,"Uninterrupted","Corn","c","Uninterrupted","same","1",-0.139213720221981,0.695550411170627,0.266887749104159,0.486486486486494
19,"Uninterrupted","Corn","c","random","random","1",-0.226298688540431,0.452176205577504,0.00291580271562467,0.337837837837833
19,"Uninterrupted","Corn","c","Interrupted","crossCond","1",-0.164429336056668,0.677345042366398,0.259138663277238,0.503184713375804
19,"Uninterrupted","Corn","c","Jumbled","crossCond","1",-0.148129095545085,0.673070808801703,0.210838527313084,0.437125748502985
20,"Uninterrupted","Corn","c","Uninterrupted","same","2",-0.143057764561638,0.70651817121595,0.306717730850028,0.529411764705884
20,"Uninterrupted","Corn","c","random","random","2",-0.221732586745974,0.527036857537757,-0.0582082253506785,0.218390804597698
20,"Uninterrupted","Corn","c","Interrupted","crossCond","2",-0.168279578609599,0.681992704515514,0.319839695036297,0.574074074074071
20,"Uninterrupted","Corn","c","Jumbled","crossCond","2",-0.151597655114031,0.681173127127537,0.344213851076027,0.595375722543343
21,"Uninterrupted","Corn","c","Uninterrupted","same","1",-0.0763976912021199,0.531828674974922,-0.0288800063445377,0.0781250000000014
21,"Uninterrupted","Corn","c","random","random","1",-0.119778772678546,0.327219811954799,0.0143208027114568,0.299999999999999
21,"Uninterrupted","Corn","c","Interrupted","crossCond","1",-0.0914977740413843,0.546120608595728,0.086660303460163,0.279411764705884
21,"Uninterrupted","Corn","c","Jumbled","crossCond","1",-0.0824273991379964,0.476559515937926,-0.0480282043640932,0.061538461538462
22,"Uninterrupted","Corn","c","Uninterrupted","same","2",-0.106062921637353,0.625330364550844,0.209440064561481,0.431372549019613
22,"Uninterrupted","Corn","c","random","random","2",-0.167597552066216,0.455588281166146,0.0136928721468337,0.290909090909089
22,"Uninterrupted","Corn","c","Interrupted","crossCond","2",-0.125365062958982,0.63560099142594,0.185939232016672,0.409090909090915
22,"Uninterrupted","Corn","c","Jumbled","crossCond","2",-0.112937349468263,0.572286898501567,0.109126064225662,0.324074074074072
23,"Uninterrupted","Corn","c","Uninterrupted","same","1",-0.121727154048422,0.669834991992563,0.232892687377938,0.447999999999998
23,"Uninterrupted","Corn","c","random","random","1",-0.193851205574956,0.512066511785331,-0.0627522009223336,0.185714285714282
23,"Uninterrupted","Corn","c","Interrupted","crossCond","1",-0.143881746579244,0.657556637855911,0.17790790777729,0.401515151515145
23,"Uninterrupted","Corn","c","Jumbled","crossCond","1",-0.129618433652772,0.627687718063055,0.193350366343675,0.426470588235283
24,"Uninterrupted","Corn","c","Uninterrupted","same","2",-0.135341595404968,0.68483495812059,0.225994928176218,0.440559440559436
24,"Uninterrupted","Corn","c","random","random","2",-0.21616049259424,0.470872519581976,0.0494922721138958,0.386666666666664
24,"Uninterrupted","Corn","c","Interrupted","crossCond","2",-0.160501394041468,0.67287756257485,0.2781191094408,0.526315789473678
24,"Uninterrupted","Corn","c","Jumbled","crossCond","2",-0.14459053903188,0.664992100588353,0.177231131376158,0.397515527950304
25,"Uninterrupted","Corn","c","Uninterrupted","same","1",-0.184484230565546,0.746969010556375,0.214091109821523,0.427906976744201
25,"Uninterrupted","Corn","c","random","random","1",-0.292610615426186,0.621302831924741,-0.0864647250462736,0.22556390977444
25,"Uninterrupted","Corn","c","Interrupted","crossCond","1",-0.222430536067489,0.722676963483355,0.24398615202255,0.493506493506506
25,"Uninterrupted","Corn","c","Jumbled","crossCond","1",-0.200380509460488,0.760226084378586,0.246151461894408,0.464843750000014
26,"Uninterrupted","Corn","c","Uninterrupted","same","2",-0.157693539407962,0.719561196567114,0.151060920739692,0.351955307262572
26,"Uninterrupted","Corn","c","random","random","2",-0.258481039426436,0.552870108160403,-0.0255188287331831,0.28712871287129
26,"Uninterrupted","Corn","c","Interrupted","crossCond","2",-0.190011229749317,0.707735984239566,0.171907804162432,0.403141361256545
